experiment,run_dir,layer,firing_rate,hidden_firing_rate,test_acc,time_steps,beta,threshold,input_gain
snn_cifar10,runs\snn_cifar10\20260615-004003,conv1,0.3474359481292517,0.31311347572218806,0.4362,1,0.95,1.0,1.0
snn_cifar10,runs\snn_cifar10\20260615-004003,conv2,0.2118385,0.31311347572218806,0.4362,1,0.95,1.0,1.0
snn_cifar10,runs\snn_cifar10\20260615-004003,fc1,0.29418666666666665,0.31311347572218806,0.4362,1,0.95,1.0,1.0
snn_cifar10,runs\snn_cifar10\20260615-004003,fc2,0.34714047619047617,0.31311347572218806,0.4362,1,0.95,1.0,1.0
snn_cifar10,runs\snn_cifar10\20260615-004003,input,0.47652018229166665,0.31311347572218806,0.4362,1,0.95,1.0,1.0
snn_cifar10,runs\snn_cifar10\20260615-004504,conv1,0.3447053004535147,0.2976602591682032,0.4925,3,0.95,1.0,1.0
snn_cifar10,runs\snn_cifar10\20260615-004504,conv2,0.16326704166666667,0.2976602591682032,0.4925,3,0.95,1.0,1.0
snn_cifar10,runs\snn_cifar10\20260615-004504,fc1,0.23886166666666667,0.2976602591682032,0.4925,3,0.95,1.0,1.0
snn_cifar10,runs\snn_cifar10\20260615-004504,fc2,0.30700674603174605,0.2976602591682032,0.4925,3,0.95,1.0,1.0
snn_cifar10,runs\snn_cifar10\20260615-004504,input,0.47659227430555556,0.2976602591682032,0.4925,3,0.95,1.0,1.0
snn_cifar10,runs\snn_cifar10\20260615-120142,conv1,0.2558176530612245,0.2303529164105716,0.5219,5,0.95,1.0,1.0
snn_cifar10,runs\snn_cifar10\20260615-120142,conv2,0.146371125,0.2303529164105716,0.5219,5,0.95,1.0,1.0
snn_cifar10,runs\snn_cifar10\20260615-120142,fc1,0.26614316666666665,0.2303529164105716,0.5219,5,0.95,1.0,1.0
snn_cifar10,runs\snn_cifar10\20260615-120142,fc2,0.35285190476190476,0.2303529164105716,0.5219,5,0.95,1.0,1.0
snn_cifar10,runs\snn_cifar10\20260615-120142,input,0.4766073893229167,0.2303529164105716,0.5219,5,0.95,1.0,1.0
snn_cifar10,runs\snn_cifar10\20260614-225311,conv1,0.16176379889455783,0.16465062692071297,0.5509,10,0.95,1.0,1.0
snn_cifar10,runs\snn_cifar10\20260614-225311,conv2,0.14827906875,0.16465062692071297,0.5509,10,0.95,1.0,1.0
snn_cifar10,runs\snn_cifar10\20260614-225311,fc1,0.3112439166666667,0.16465062692071297,0.5509,10,0.95,1.0,1.0
snn_cifar10,runs\snn_cifar10\20260614-225311,fc2,0.42873321428571426,0.16465062692071297,0.5509,10,0.95,1.0,1.0
snn_cifar10,runs\snn_cifar10\20260614-225311,input,0.47656374348958336,0.16465062692071297,0.5509,10,0.95,1.0,1.0
snn_cifar10,runs\snn_cifar10\20260615-121335,conv1,0.14656035501700682,0.15429634834050399,0.5702,20,0.95,1.0,1.0
snn_cifar10,runs\snn_cifar10\20260615-121335,conv2,0.142935165625,0.15429634834050399,0.5702,20,0.95,1.0,1.0
snn_cifar10,runs\snn_cifar10\20260615-121335,fc1,0.3722577083333333,0.15429634834050399,0.5702,20,0.95,1.0,1.0
